發病日,居住縣市,居住鄉鎮,確定病例數
2023-08-17,台南市,仁德區,3
2023-08-17,台南市,北區,2
2023-08-17,台南市,南區,7
2023-08-17,台南市,安南區,9
2023-08-17,台南市,安平區,3
2023-08-17,台南市,東區,16
2023-08-17,台南市,歸仁區,1
2023-08-17,台南市,永康區,21
2023-08-17,雲林縣,古坑鄉,11
2023-08-17,雲林縣,斗六市,1
2023-08-17,高雄市,大寮區,1
2023-08-17,高雄市,左營區,1
2023-08-17,高雄市,鼓山區,1
2023-08-18,台南市,中西區,3
2023-08-18,台南市,北區,4
2023-08-18,台南市,南區,6
2023-08-18,台南市,安南區,24
2023-08-18,台南市,安平區,2
2023-08-18,台南市,東區,13
2023-08-18,台南市,歸仁區,1
2023-08-18,台南市,永康區,18
2023-08-18,台南市,玉井區,1
2023-08-18,台南市,關廟區,1
2023-08-18,新竹市,北區,1
2023-08-18,新竹縣,竹北市,1
2023-08-18,雲林縣,古坑鄉,10
2023-08-18,雲林縣,斗六市,2
2023-08-18,雲林縣,斗南鎮,1
2023-08-18,高雄市,左營區,3
2023-08-18,高雄市,鳳山區,1
2023-08-19,台北市,北投區,1
2023-08-19,台南市,中西區,4
2023-08-19,台南市,仁德區,2
2023-08-19,台南市,北區,7
2023-08-19,台南市,南區,9
2023-08-19,台南市,安南區,14
2023-08-19,台南市,東區,22
2023-08-19,台南市,歸仁區,1
2023-08-19,台南市,永康區,17
2023-08-19,台南市,關廟區,5
2023-08-19,屏東縣,屏東市,1
2023-08-19,新北市,新店區,1
2023-08-19,雲林縣,古坑鄉,3
2023-08-19,高雄市,小港區,1
2023-08-19,高雄市,岡山區,2
2023-08-19,高雄市,左營區,3
2023-08-20,台南市,中西區,3
2023-08-20,台南市,仁德區,1
2023-08-20,台南市,佳里區,1
2023-08-20,台南市,北區,8
2023-08-20,台南市,南區,14
2023-08-20,台南市,善化區,1
2023-08-20,台南市,安南區,17
2023-08-20,台南市,安平區,1
2023-08-20,台南市,新市區,1
2023-08-20,台南市,東區,20
2023-08-20,台南市,永康區,22
2023-08-20,台南市,關廟區,1
2023-08-20,屏東縣,屏東市,1
2023-08-20,彰化縣,彰化市,1
2023-08-20,新北市,蘆洲區,1
2023-08-20,雲林縣,古坑鄉,3
2023-08-20,高雄市,小港區,2
2023-08-20,高雄市,左營區,1
2023-08-21,台南市,中西區,3
2023-08-21,台南市,仁德區,1
2023-08-21,台南市,北區,15
2023-08-21,台南市,南區,10
2023-08-21,台南市,安南區,38
2023-08-21,台南市,安定區,1
2023-08-21,台南市,安平區,1
2023-08-21,台南市,東區,20
2023-08-21,台南市,歸仁區,1
2023-08-21,台南市,永康區,19
2023-08-21,台南市,西港區,1
2023-08-21,台南市,關廟區,5
2023-08-21,屏東縣,屏東市,1
2023-08-21,雲林縣,古坑鄉,2
2023-08-21,雲林縣,斗六市,2
2023-08-21,高雄市,小港區,2
2023-08-21,高雄市,左營區,1
2023-08-21,高雄市,林園區,1
2023-08-21,高雄市,鳳山區,1
2023-08-21,高雄市,鼓山區,1
2023-08-22,台南市,仁德區,2
2023-08-22,台南市,北區,12
2023-08-22,台南市,南區,12
2023-08-22,台南市,安南區,47
2023-08-22,台南市,新化區,1
2023-08-22,台南市,東區,20
2023-08-22,台南市,歸仁區,3
2023-08-22,台南市,永康區,16
2023-08-22,台南市,關廟區,2
2023-08-22,屏東縣,萬丹鄉,1
2023-08-22,雲林縣,古坑鄉,3
2023-08-22,雲林縣,大埤鄉,1
2023-08-22,雲林縣,斗六市,1
2023-08-22,高雄市,湖內區,1
2023-08-22,高雄市,鼓山區,1
2023-08-23,台南市,中西區,1
2023-08-23,台南市,仁德區,4
2023-08-23,台南市,北區,13
2023-08-23,台南市,南區,13
2023-08-23,台南市,安南區,33
2023-08-23,台南市,安平區,3
2023-08-23,台南市,新化區,1
2023-08-23,台南市,新市區,1
2023-08-23,台南市,東區,29
2023-08-23,台南市,柳營區,1
2023-08-23,台南市,歸仁區,1
2023-08-23,台南市,永康區,22
2023-08-23,新北市,新莊區,1
2023-08-23,雲林縣,古坑鄉,1
2023-08-23,高雄市,仁武區,1
2023-08-23,高雄市,前鎮區,1
2023-08-23,高雄市,大寮區,2
2023-08-23,高雄市,左營區,1
2023-08-23,高雄市,林園區,1
2023-08-23,高雄市,楠梓區,1
2023-08-23,高雄市,茄萣區,1
2023-08-23,高雄市,鼓山區,1
2023-08-24,台中市,大甲區,1
2023-08-24,台南市,中西區,5
2023-08-24,台南市,仁德區,4
2023-08-24,台南市,六甲區,1
2023-08-24,台南市,北區,11
2023-08-24,台南市,南區,19
2023-08-24,台南市,安南區,34
2023-08-24,台南市,安定區,1
2023-08-24,台南市,安平區,3
2023-08-24,台南市,新化區,1
2023-08-24,台南市,東區,26
2023-08-24,台南市,永康區,22
2023-08-24,台南市,關廟區,2
2023-08-24,嘉義縣,梅山鄉,1
2023-08-24,新北市,三重區,1
2023-08-24,苗栗縣,苑裡鎮,1
2023-08-24,雲林縣,古坑鄉,5
2023-08-24,雲林縣,斗六市,4
2023-08-24,雲林縣,斗南鎮,1
2023-08-24,高雄市,三民區,1
2023-08-24,高雄市,大寮區,1
2023-08-24,高雄市,茄萣區,1
2023-08-24,高雄市,鳥松區,1
2023-08-25,台北市,中山區,1
2023-08-25,台南市,中西區,2
2023-08-25,台南市,仁德區,4
2023-08-25,台南市,北區,5
2023-08-25,台南市,南區,17
2023-08-25,台南市,安南區,45
2023-08-25,台南市,安平區,1
2023-08-25,台南市,新市區,1
2023-08-25,台南市,東區,21
2023-08-25,台南市,歸仁區,1
2023-08-25,台南市,永康區,21
2023-08-25,台南市,關廟區,1
